1 12.5874
2 33.8052
3 57.0533
4 81.6814
5 107.512
6 130.05
7 151.243
8 173.723
9 155.034
10 175.025
10 175.025
11 192.353
12 219.623
12 219.538
13 229.539
14 248.08
15 265.772
16 302.389
17 276.487
18 293.787
20 335.429
21 335.105
22 350.855
24 413.841
25 383.173
27 407.03
29 429.423
31 450.69
33 477.972
35 496.59
37 513.827
40 602.737
42 574.755
45 599.037
48 681.571
51 648.289
55 668.197
58 714.929
62 729.482
66 777.379
71 781.589
75 824.386
80 922.671
86 883.974
91 905.597
97 862.43
104 972.188
111 938.103
118 868.348
126 795.148
134 758.595
143 825.262
152 785.67
162 747.415
173 761.796
184 861.752
196 828.381
209 872.731
223 937.84
237 848.067
253 836.236
269 895.105
287 980.684
306 904.3
326 894.629
347 901.616
370 947.708
394 930.54
420 887.287
448 476.521
477 409.824
508 268.457
541 293.092
577 276.056
615 242.397
655 273.522
698 232.146
744 258.073
792 216.813
844 196.903
899 192.576
958 178.645
1021 181.844
1088 206.493
1159 234.323
1235 266.062
1316 302.107
1402 342.882
1494 389.359
1591 441.559
1695 501.173
1806 568.963
1925 633.828
2051 410.938
2185 811.536
2328 852.038
2480 863.032
2642 862.354
2815 885.239
3000 955.318
