1 3.18582
2 18.8538
3 44.3352
4 96.4198
5 127.573
6 153.016
7 183.895
8 274.503
9 280.867
10 301.996
10 299.567
11 318.186
12 395.578
13 397.938
14 401.577
15 405.067
16 482.38
17 473.602
18 478.321
19 480.522
21 533.741
22 531.507
24 586.723
26 573.577
28 620.416
30 605.637
32 647.184
34 632.813
37 662.16
39 652.425
42 668.109
45 683.423
48 698.438
52 695.039
56 709.519
60 709.735
64 715.118
69 702.319
74 712.019
79 677.498
85 625.495
91 693.292
97 698.736
104 735.652
112 759.279
120 744.4
128 574.954
137 647.609
147 638.303
158 604.543
169 634.569
181 642.534
194 643.619
208 847.137
223 795.966
239 718.376
256 821.165
275 696.798
294 713.285
315 568.751
338 642.826
362 644.653
388 758.685
416 912.028
446 698.594
477 724.181
512 600.173
548 735.883
587 631.351
629 770.772
674 721.236
723 661.883
774 671.101
830 707.396
889 675.881
953 662.226
1021 589.612
1094 665.124
1172 655.278
1256 655.093
1346 646.885
1442 650.456
1545 639.985
1656 606.339
1774 655.441
1901 609.29
2037 562.413
2183 653.754
2339 656.524
2506 659.647
2685 620.107
2877 630.379
3083 521.338
3303 641.098
3540 605.027
3793 638.788
4064 542.993
4355 541.638
4666 545.397
4999 533.79
