1 10.8427
2 34.543
3 70.6701
4 112.789
5 156.609
6 201.419
7 247.183
8 317.953
9 376.067
10 414.682
10 414.678
11 453.565
12 488.81
12 488.536
13 529.581
14 571.757
15 610.413
16 647.629
17 420.321
18 427.355
20 473.321
21 478.098
22 489.891
24 554.215
25 542.081
27 543.536
29 576.347
31 585.261
33 616.018
35 611.366
37 637.406
40 677.491
42 664.986
45 686.604
48 717.085
51 696.854
55 719.948
58 729.381
62 738.688
66 748.12
71 753.822
75 762.815
80 794.307
86 781.373
91 776.931
97 778.495
104 811.69
111 786.316
118 783.722
126 789.039
134 896.26
143 897.047
152 936.1
162 910.271
173 920.262
184 947.795
196 938.965
209 934.805
223 951.816
237 937.243
253 931.327
269 800.536
287 798.594
306 746.881
326 790.372
347 765.655
370 748.621
394 810.901
420 890.261
448 922.217
477 835.71
508 777.564
541 835.723
577 831.144
615 826.136
655 854.831
698 829.147
744 826.184
792 845.215
844 829.222
899 829.865
958 841.579
1021 794.994
1088 865.474
1159 887.335
1235 859.58
1316 897.299
1402 906.208
1494 908.011
1591 866.928
1695 892.082
1806 950.072
1925 910.62
2051 817.263
2185 950.061
2328 931.08
2480 965.81
2642 945.985
2815 944.502
3000 1006.6
