1 6.63352
2 37.2951
3 87.4588
4 193.11
5 264.827
6 356.764
7 444.015
8 617.725
9 665.874
10 755.583
10 755.44
11 824.674
12 997.958
13 1054.38
14 1116.04
15 1164.51
16 1337.72
17 1340.88
18 1386.08
19 1417.56
21 1581.2
22 1608.07
24 1768.08
26 1774.42
28 1896.39
30 1916.26
32 2030.01
34 2024.91
37 2105.66
39 2115.73
42 2181.74
45 2244.66
48 2266.11
52 2264.52
56 2343.57
60 2369.45
64 2425.3
69 2397.1
74 2414.01
79 2433.17
85 2477.61
91 2467.58
97 2517.09
104 2545.68
112 2577.48
120 2583.48
128 2611.12
137 2609.9
147 2615.18
158 2617.47
169 2639.64
181 2620.67
194 2613.91
208 2630.81
223 2634.4
239 2650.29
256 2635.44
275 2666.14
294 2633.9
315 2656.39
338 2647.54
362 2659.57
388 2632.07
416 2678.42
446 2664.7
477 2670.2
512 2656.63
548 2621.73
587 2636.2
629 2623.94
674 2609.9
723 2608.09
774 2588.9
830 2644.02
889 2657.17
953 2648.49
1021 2642.62
1094 2615.03
1172 2606.14
1256 2614.67
1346 2575.99
1442 2562.29
1545 2552.71
1656 2635.97
1774 2631.44
1901 2624.41
2037 2586.54
2183 2566.34
2339 2549.25
2506 2627.99
2685 2587.72
2877 2562.24
3083 2563.18
3303 2594.56
3540 2587.3
3793 2541.07
4064 2549.82
4355 2586.21
4666 2544.14
4999 2581.7
